Fellowship, Link to Fellowship, Country, Fellowship Amount ($), Deadline (mm-dd-yy), Organization Name, Industry/University/Funding Agency, Citizenship
"Meta Research PhD Fellowship", https://research.facebook.com/fellowship/, all, 42000, 09-20-22, Meta, Industry, all
"Microsoft Research PhD Fellowship", https://www.microsoft.com/en-us/research/academic-program/phd-fellowship/, all, varies, 06-07-22, Microsoft, Industry, all
"NVIDIA Graduate Fellowship Program", https://research.nvidia.com/graduate-fellowships, all, varies, 09-08-22, NVIDIA, Industry, all
"Qualcomm Innovation Fellowship (QIF) EU", https://www.qualcomm.com/research/university-relations/innovation-fellowship/2023-europe, specific universities, 40000, 02-24-23, Qualcomm, Industry, all
"QIF India", https://www.qualcomm.com/research/university-relations/innovation-fellowship/2023-india, specific universities, 13000, 04-12-23, Qualcomm, Industry, all
"QIF North America", https://www.qualcomm.com/research/university-relations/innovation-fellowship/2023-north-america, specific universities, 50000, 12-01-22, Qualcomm, Industry, all
"QIF South Korea", https://www.qualcomm.com/research/university-relations/innovation-fellowship/2023-south-korea, specific universities, 3112, 08-15-23, Qualcomm, Industry, all
"Norton Labs Graduate Fellowship", https://www.nortonlifelock.com/us/en/careers/graduate-fellowship/, all, 20000, 01-12-22, Norton, Industry, all
"IBM PhD Fellowship", https://research.ibm.com/university/awards/fellowships.html, all, varies, 03-24-23, IBM, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, Africa, 30000, 05-11-23, Google, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, India, 50000, 04-18-23, Google, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, SE Asia, 10000, 04-18-23, Google, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, East Asia, 10000, 05-10-23, Google, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, Australia and New Zealand, 15000, 05-10-23, Google, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, US & Canada & EU, varies, 10-06-22, Google, Industry, all
"Google PhD Fellowship", https://research.google/outreach/phd-fellowship/, Latin America, 15000, 01-11-23, Google, Industry, all
